"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"244741_s_at",7.14600308903819,6.79507772279059,7.4416632596894,7.65360089245598,7.28240484351895,6.39551547221269,6.53786614357681,6.39893690352443,7.22644638896056,7.30478079788754,6.73143832223714,6.73199459348389,6.3560215188738,5.91058359166734,6.68060062855058,7.00048360141676,5.90259500897332,6.01348579200054,6.74585541427107,5.62388520422706,4.84794956032908,6.46804771308959,6.65407510475102,6.60324019461164,6.98348687547633,6.99852017141913,6.65456317034432,5.95307327223193,6.10751239558109,4.71278447291466
"235174_s_at",7.80938580986306,7.3952586732675,7.06503530592956,7.59824711936285,7.09878013813706,7.49697187674376,7.27706462656557,7.01159867558934,7.18893061413959,7.24057493340182,6.80659703257536,6.53003302152986,6.33874201883725,6.28456204782227,6.54669465176014,7.09768162959532,6.51620489426937,5.95538308026329,5.95935939493824,4.84275938774335,5.67134095899014,5.67055901772151,5.98463335614766,5.66621709879219,7.03826713538143,6.72667495549713,5.65208516064069,5.78164597388483,5.97759278445355,6.22682603467292
"217087_at",8.96388242266779,8.56461463284839,8.80708345650594,8.81051282491261,8.44820587719049,8.49974641119124,8.73326775185215,7.68112042390942,8.10996761780831,8.01106373943354,9.16551699098477,8.88030037349472,7.98864533691636,7.60394882936548,8.33778657590057,9.06825102146274,7.25783989577767,7.39100928726166,8.5101984254122,5.76684941293246,6.11098719967898,8.88328957306291,8.79851712844856,8.07768508169859,10.1018989070028,9.97211839056634,7.44608476108569,8.89504792263852,8.89184786433241,5.52617806661959
"235274_at",7.0970794260986,7.24694041937226,6.22795739197344,6.66334399279006,5.90563810680743,7.45915681501146,7.51915797436239,7.06224715654021,7.41368205183076,7.62381333739729,7.06708157062207,7.0752022367819,4.9760869347212,4.20309919658999,7.18974905900621,6.94780376140779,6.74850222350353,4.91208836660515,5.81593561558106,4.52722281653308,4.30648834679188,5.60393260029629,5.45331244122331,4.77090422287257,7.24086805889275,6.23468519014221,4.74610205299138,6.11776073139378,6.16843492041736,6.15164191043932
"215358_x_at",5.45309990080755,5.86210205617063,5.15113679750075,5.50701466859381,5.28179331631304,5.75138297779922,5.23244895598002,5.83039521386397,5.35414663980184,5.58903137231643,5.55660844792972,5.60019908310661,5.07976647137037,5.16058941785165,5.75930037967377,5.70460903421981,5.7322601973248,4.82195036292217,5.39396606646319,5.2939713874758,4.04912115549069,5.07883286948287,4.79099388206853,4.18228385617244,5.69997725951087,5.20304579425664,4.72516188376325,4.46417330036929,4.50502499128487,5.22079932797384
"237475_x_at",9.39775506282589,9.14739886732574,9.08637945008611,9.61335077324701,9.33445660079265,9.00619981827803,9.34468873898088,9.08085999669486,9.00300327395878,9.18626101413074,9.37359428173556,9.28573611634845,9.55590075547502,10.0752037049342,9.9081545339902,9.76547821783804,10.0414371687428,10.0094338087701,10.0324439777965,9.94740739450722,10.0372985875061,10.0498799233161,9.87772056225951,9.98954074471374,9.80574143619061,9.97655485659688,9.50606856520624,9.99185703700427,9.68418576713499,10.1579927044607
"243871_at",6.67276793878413,6.88967208190542,5.76082026369633,6.32258908731461,6.33509462860343,7.65558273035903,7.18194129827849,7.3026257951006,6.43525969119489,7.29308353942072,7.84062561114903,7.8554745037944,4.77410165337487,5.52586394780294,6.1661675740306,6.89512900692961,4.91488844050217,4.73473581715046,6.25339731801099,3.92828101050438,4.37115994833999,5.92618930649509,6.46846158991064,6.22445895785972,6.49110648245363,5.93542362127683,5.31077069885176,5.79775550655737,6.33955367457921,4.33064940400332
"1555907_at",5.3412683273861,5.89831610859221,5.56752170899458,5.70438120837278,5.63420564895305,5.58155382530027,5.55160957700966,5.56378993113733,5.66296818863387,5.91478702927231,6.18678196756553,6.37116115118106,6.30153044635686,5.07227598294219,5.10467991440097,5.20550478518557,5.29905665985013,5.74025900627982,5.39198260227322,5.61569270428084,5.62060819950909,6.06587640078685,5.7771409231875,6.10355339108104,6.02080756164109,6.02615608257128,6.54836600969772,6.43212142538493,6.15262700614752,5.23510149851811
"235990_at",5.04943941073248,5.55726759906662,4.96659372741602,5.39637942217768,5.17842720675999,5.28976201335268,5.21128863240422,5.36221162211017,4.9383018619944,5.446720068404,5.21047250975918,5.75272273018748,5.40373595230205,5.0624598591954,6.28926743483188,6.31773597739324,5.62025942228417,5.87525955359373,5.9945207601809,5.32260101099602,6.02269542705101,5.38662456938726,5.59124122374399,4.88211620346142,5.78256143468779,5.78860681813141,5.39301020125846,6.56585822411655,6.16512377599982,6.01365206449483
"227170_at",5.6895898471451,5.60351923536341,5.446720068404,5.3470881170022,5.55806541368648,5.43011021975725,5.67394819650413,5.14751804086259,4.93003512202125,5.80326354806924,5.6065568588533,5.8676415428576,5.97114197928486,5.85044395436205,6.06232162670805,5.82078584700054,5.51745782697956,5.76483451831486,6.24926270854671,6.65215363230827,6.55084560542812,6.16266556468052,5.96334301861421,6.03463514755159,6.38612514247619,6.57401774106014,6.2241971303173,6.43625311108076,6.4679336705433,6.31892784535958
